
# Surface 0 of 1 surfaces

# Curve title: ""calculusAndAnalyticGeometry_contourtmp6.dat""

# Contour 0, label:        1
 3.73292  1  0.5 
 3.75  1.00508  0.5 
 4  1.07442  0.5 
 4.25  1.14162  0.5 
 4.5  1.20728  0.5 
 4.66737  1.25  0.5 
 4.75  1.27369  0.5 
 5  1.34204  0.5 


# Contour 2, label:        0
 5  0  0 
 4.75  0  0 
 4.5  0  0 
 4.25  0  0 
 4  0  0 
 3.75  0  0 
 3.5  0  0 
 3.25  0  0 
 3  0  0 
 2.75  0  0 
 2.5  0  0 
 2.25  0  0 
 2  0  0 
 1.75  0  0 
 1.5  0  0 
 1.25  0  0 
 1  0  0 
 0.75  0  0 
 0.5  0  0 
 0.25  0  0 
 0 -0.25  0 
 0 -0.5  0 
 0 -0.75  0 
 0 -1  0 
 0 -1.25  0 
 0 -1.5  0 
 0 -1.75  0 
 0 -2  0 
 0 -2.25  0 
 0 -2.5  0 
 0 -2.75  0 
 0 -3  0 
 0 -3.25  0 
 0 -3.5  0 
 0 -3.75  0 
 0 -4  0 
 0 -4.25  0 
 0 -4.5  0 
 0 -4.75  0 
 0 -5  0 

 0  5  0 
 0  4.75  0 
 0  4.5  0 
 0  4.25  0 
 0  4  0 
 0  3.75  0 
 0  3.5  0 
 0  3.25  0 
 0  3  0 
 0  2.75  0 
 0  2.5  0 
 0  2.25  0 
 0  2  0 
 0  1.75  0 
 0  1.5  0 
 0  1.25  0 
 0  1  0 
 0  0.75  0 
 0  0.5  0 
 0  0.25  0 
-0.25  0  0 
-0.5  0  0 
-0.75  0  0 
-1  0  0 
-1.25  0  0 
-1.5  0  0 
-1.75  0  0 
-2  0  0 
-2.25  0  0 
-2.5  0  0 
-2.75  0  0 
-3  0  0 
-3.25  0  0 
-3.5  0  0 
-3.75  0  0 
-4  0  0 
-4.25  0  0 
-4.5  0  0 
-4.75  0  0 
-5  0  0 


# Contour 3, label:     -0.5
 5 -1.34204 -0.5 
 4.75 -1.27369 -0.5 
 4.66737 -1.25 -0.5 
 4.5 -1.20728 -0.5 
 4.25 -1.14162 -0.5 
 4 -1.07442 -0.5 
 3.75 -1.00508 -0.5 
 3.73292 -1 -0.5 
 3.5 -0.940318 -0.5 
 3.25 -0.874634 -0.5 
 3 -0.80683 -0.5 
 2.80181 -0.75 -0.5 
 2.75 -0.737652 -0.5 
 2.5 -0.673937 -0.5 
 2.25 -0.608325 -0.5 
 2 -0.539342 -0.5 
 1.87257 -0.5 -0.5 
 1.75 -0.471506 -0.5 
 1.5 -0.40932 -0.5 
 1.25 -0.344567 -0.5 
 1 -0.272321 -0.5 
 0.943183 -0.25 -0.5 
 0.75 -0.208333 -0.5 
 0.5 -0.15625 -0.5 
 0.25 -0.125 -0.5 
 0.125 -0.25 -0.5 
 0.15625 -0.5 -0.5 
 0.208333 -0.75 -0.5 
 0.25 -0.943183 -0.5 
 0.272321 -1 -0.5 
 0.344567 -1.25 -0.5 
 0.40932 -1.5 -0.5 
 0.471506 -1.75 -0.5 
 0.5 -1.87257 -0.5 
 0.539342 -2 -0.5 
 0.608325 -2.25 -0.5 
 0.673937 -2.5 -0.5 
 0.737652 -2.75 -0.5 
 0.75 -2.80181 -0.5 
 0.80683 -3 -0.5 
 0.874634 -3.25 -0.5 
 0.940318 -3.5 -0.5 
 1 -3.73292 -0.5 
 1.00508 -3.75 -0.5 
 1.07442 -4 -0.5 
 1.14162 -4.25 -0.5 
 1.20728 -4.5 -0.5 
 1.25 -4.66737 -0.5 
 1.27369 -4.75 -0.5 
 1.34204 -5 -0.5 

-1.34204  5 -0.5 
-1.27369  4.75 -0.5 
-1.25  4.66737 -0.5 
-1.20728  4.5 -0.5 
-1.14162  4.25 -0.5 
-1.07442  4 -0.5 
-1.00508  3.75 -0.5 
-1  3.73292 -0.5 
-0.940318  3.5 -0.5 
-0.874634  3.25 -0.5 
-0.80683  3 -0.5 
-0.75  2.80181 -0.5 
-0.737652  2.75 -0.5 
-0.673937  2.5 -0.5 
-0.608325  2.25 -0.5 
-0.539342  2 -0.5 
-0.5  1.87257 -0.5 
-0.471506  1.75 -0.5 
-0.40932  1.5 -0.5 
-0.344567  1.25 -0.5 
-0.272321  1 -0.5 
-0.25  0.943183 -0.5 
-0.208333  0.75 -0.5 
-0.15625  0.5 -0.5 
-0.125  0.25 -0.5 
-0.25  0.125 -0.5 
-0.5  0.15625 -0.5 
-0.75  0.208333 -0.5 
-0.943183  0.25 -0.5 
-1  0.272321 -0.5 
-1.25  0.344567 -0.5 
-1.5  0.40932 -0.5 
-1.75  0.471506 -0.5 
-1.87257  0.5 -0.5 
-2  0.539342 -0.5 
-2.25  0.608325 -0.5 
-2.5  0.673937 -0.5 
-2.75  0.737652 -0.5 
-2.80181  0.75 -0.5 
-3  0.80683 -0.5 
-3.25  0.874634 -0.5 
-3.5  0.940318 -0.5 
-3.73292  1 -0.5 
-3.75  1.00508 -0.5 
-4  1.07442 -0.5 
-4.25  1.14162 -0.5 
-4.5  1.20728 -0.5 
-4.66737  1.25 -0.5 
-4.75  1.27369 -0.5 
-5  1.34204 -0.5 

